album,song,lyrics
evermore ,"​no body, no crime","(She was with me, dude)"
evermore ,"​no body, no crime",Good thing his mistress took out a big life insurance policy
evermore ,"​no body, no crime","They think she did it, but they just can't prove it"
evermore ,"​no body, no crime","They think she did it, but they just can't prove it"
evermore ,"​no body, no crime","She thinks I did it, but she just can't prove it"
evermore ,"​no body, no crime","No, no body, no crime"
evermore ,"​no body, no crime",I wasn't lettin' up until the day he—
evermore ,"​no body, no crime","No, no body, no crime"
evermore ,"​no body, no crime",I wasn't lettin' up until the day he—
evermore ,"​no body, no crime","No, no body, no crime"
evermore ,"​no body, no crime",I wasn't lettin' up until the day he died
evermore ,​happiness,"Honey, when I'm above the trees"
evermore ,​happiness,I see this for what it is
evermore ,​happiness,"But now I'm right down in it, all the years I've given"
evermore ,​happiness,Is just shit we're dividin' up
evermore ,​happiness,Showed you all of my hiding spots
evermore ,​happiness,I was dancing when the music stopped
evermore ,​happiness,"And in the disbelief, I can't face reinvention"
evermore ,​happiness,I haven't met the new me yet
evermore ,​happiness,There'll be happiness after you
evermore ,​happiness,But there was happiness because of you
evermore ,​happiness,Both of these things can be true
evermore ,​happiness,There is happiness
evermore ,​happiness,Past the blood and bruise
evermore ,​happiness,Past the curses and cries
evermore ,​happiness,Beyond the terror in the nightfall
evermore ,​happiness,Haunted by the look in my eyes
evermore ,​happiness,That would've loved you for a lifetime
evermore ,​happiness,Leave it all behind
evermore ,​happiness,And there is happiness
evermore ,​happiness,"Tell me, when did your winning smile"
evermore ,​happiness,Begin to look like a smirk?
evermore ,​happiness,When did all our lessons start to look like weapons
evermore ,​happiness,Pointed at my deepest hurt?
evermore ,​happiness,I hope she'll be a beautiful fool
evermore ,​happiness,Who takes my spot next to you
evermore ,​happiness,"No, I didn't mean that"
evermore ,​happiness,"Sorry, I can't see facts through all of my fury"
evermore ,​happiness,You haven't met the new me yet
evermore ,​happiness,Joeboy 'Sip (Alcohol)' Official Lyrics & Meaning | Verified
evermore ,​happiness,There'll be happiness after me
evermore ,​happiness,But there was happiness because of me
evermore ,​happiness,"Both of these things, I believe"
evermore ,​happiness,There is happiness
evermore ,​happiness,"In our history, across our great divide"
evermore ,​happiness,There is a glorious sunrise
evermore ,​happiness,Dappled with the flickers of light
evermore ,​happiness,"From the dress I wore at midnight, leave it all behind"
evermore ,​happiness,And there is happiness
evermore ,​happiness,I can't make it go away by making you a villain
evermore ,​happiness,I guess it's the price I paid for seven years in Heaven
evermore ,​happiness,And I pulled your body into mine
evermore ,​happiness,"Every goddamn night, now I get fake niceties"
evermore ,​happiness,No one teaches you what to do
evermore ,​happiness,When a good man hurts you
evermore ,​happiness,And you know you hurt him too
evermore ,​happiness,"Honey, when I'm above the trees"
evermore ,​happiness,I see it for what it is
evermore ,​happiness,But now my eyes leak acid rain on the pillow where you used to lay your head
evermore ,​happiness,After giving you the best I had
evermore ,​happiness,Tell me what to give after that
evermore ,​happiness,All you want from me now is the green light of forgiveness
evermore ,​happiness,You haven't met the new me yet
evermore ,​happiness,And I think she'll give you that
evermore ,​happiness,There'll be happiness after you
evermore ,​happiness,But there was happiness because of you too
evermore ,​happiness,Both of these things can be true
evermore ,​happiness,There is happiness
evermore ,​happiness,"In our history, across our great divide"
evermore ,​happiness,There is a glorious sunrise
evermore ,​happiness,Dappled with the flickers of light
evermore ,​happiness,"From the dress I wore at midnight, leave it all behind"
evermore ,​happiness,"Oh, leave it all behind"
evermore ,​happiness,Leave it all behind
evermore ,​happiness,And there is happiness
evermore ,​dorothea,"Hey, Dorothea, do you ever stop and think about me?"
evermore ,​dorothea,When we were younger down in the park
evermore ,​dorothea,"Honey, making a lark of the misery"
evermore ,​dorothea,You got shiny friends since you left town
evermore ,​dorothea,A tiny screen's the only place I see you now
evermore ,​dorothea,And I got nothing but well wishes for ya
evermore ,​dorothea,"Ooh, this place is the same as it ever was"
evermore ,​dorothea,"Ooh, but you won't like it that way"
evermore ,​dorothea,It's never too late to come back to my side
evermore ,​dorothea,The stars in your eyes shined brighter in Tupelo
evermore ,​dorothea,And if you're ever tired of bеing known for who you know
evermore ,​dorothea,"You know that you'll always know me, Dorothea (Uh-uh)"
evermore ,​dorothea,Dorothea (Ah-ah)
evermore ,​dorothea,"Ooh, you'rе a queen sellin' dreams, sellin' makeup and magazines"
evermore ,​dorothea,"Ooh, from you, I'd buy anything"
evermore ,​dorothea,"Hey, Dorothea, do you ever stop and think about me?"
evermore ,​dorothea,"When it was calmer, skipping the prom just to piss off your mom and her pageant schemes"
evermore ,​dorothea,"And damn, Dorothea, they all wanna be ya"
evermore ,​dorothea,But are you still the same soul I met under the bleachers? Well
evermore ,​dorothea,"Ooh, I guess I'll never know"
evermore ,​dorothea,"Ooh, and you'll go on with the show"
evermore ,​dorothea,But it's never too late to come back to my side
evermore ,​dorothea,The stars in your eyes shined brighter in Tupelo
evermore ,​dorothea,And if you're ever tired of being known for who you know
evermore ,​dorothea,"You know, you'll always know me, Dorothea (Uh-uh)"
evermore ,​dorothea,Dorothea (Ah-ah)
evermore ,​dorothea,"Ooh, ooh"
evermore ,​dorothea,"Ooh-woo-ooh-ooh-ooh, ooh-ooh-ooh-ooh"
evermore ,​dorothea,"Ooh, ooh"
evermore ,​dorothea,"Ooh-woo-ooh-ooh-ooh, ooh-ooh-ooh"
evermore ,​dorothea,Dorothea (Ah-ah-ah)
evermore ,​dorothea,Ah-ah
evermore ,​dorothea,Ooh
evermore ,​coney island,Break my soul in two looking for you
evermore ,​coney island,But you're right here
evermore ,​coney island,If I can't relate to you anymore
evermore ,​coney island,Then who am I related to?
evermore ,​coney island,And if this is the long haul
evermore ,​coney island,How'd we get here so soon?
evermore ,​coney island,Did I close my fist around something delicate?
evermore ,​coney island,Did I shatter you?
evermore ,​coney island,And I'm sitting on a bench in Coney Island
evermore ,​coney island,Wondering where did my baby go?
evermore ,​coney island,"The fast times, the bright lights, the merry go"
evermore ,​coney island,Sorry for not making you my centerfold
evermore ,​coney island,Over and over
evermore ,​coney island,Lost again with no surprises
evermore ,​coney island,"Disappointments, close your eyes"
evermore ,​coney island,And it gets colder and colder
evermore ,​coney island,When the sun goes down
evermore ,​coney island,The question pounds my head
evermore ,​coney island,What's a lifetime of achievement
evermore ,​coney island,If I pushed you to the edge?
evermore ,​coney island,But you were too polite to leave me
evermore ,​coney island,And do you miss the rogue
evermore ,​coney island,Who coaxed you into paradise and left you there?
evermore ,​coney island,Will you forgive my soul
evermore ,​coney island,When you're too wise to trust me and too old to care?
evermore ,​coney island,'Cause we were like the mall before the internet
evermore ,​coney island,It was the one place to be
evermore ,​coney island,"The mischief, the gift-wrapped suburban dreams"
evermore ,​coney island,Sorry for not winning you an arcade ring
evermore ,​coney island,Over and over
evermore ,​coney island,Lost again with no surprises
evermore ,​coney island,"Disappointments, close your eyes"
evermore ,​coney island,And it gets colder and colder
evermore ,​coney island,When the sun goes down
evermore ,​coney island,Were you waiting at our old spot
evermore ,​coney island,In the tree line
evermore ,​coney island,By the gold clock
evermore ,​coney island,Did I leave you hanging every single day?
evermore ,​coney island,Were you standing in the hallway
evermore ,​coney island,"With a big cake, happy birthday"
evermore ,​coney island,Did I paint your bluest skies the darkest grey?
evermore ,​coney island,A universe away
evermore ,​coney island,And when I got into the accident
evermore ,​coney island,The sight that flashed before me was your face
evermore ,​coney island,"But when I walked up to the podium, I think that I forgot to say your name"
evermore ,​coney island,I'm on a bench in Coney Island
evermore ,​coney island,Wondering where did my baby go?
evermore ,​coney island,"The fast times, the bright lights, the merry go"
evermore ,​coney island,Sorry for not making you my centerfold
evermore ,​coney island,Over and over
evermore ,​coney island,Lost again with no surprises
evermore ,​coney island,"Disappointments, close your eyes"
evermore ,​coney island,And it gets colder and colder
evermore ,​coney island,When the sun goes down
evermore ,​coney island,When the sun goes down
evermore ,​coney island,The sight that flashed before me was your face
evermore ,​coney island,When the sun goes down
evermore ,​coney island,But I think that I forgot to say your name
evermore ,​coney island,Over and over
evermore ,​coney island,"Sorry for not making you my, making you my"
evermore ,​coney island,Making you my centerfold
evermore ,​ivy,How's one to know?
evermore ,​ivy,I'd meet you where the spirit meets the bones
evermore ,​ivy,In a faith-forgotten land
evermore ,​ivy,In from the snow
evermore ,​ivy,Your touch brought forth an incandescent glow
evermore ,​ivy,Tarnished but so grand
evermore ,​ivy,And the old widow goes to the stone every day
evermore ,​ivy,"But I don't, I just sit here and wait"
evermore ,​ivy,Grieving for the living
evermore ,​ivy,"Oh, goddamn"
evermore ,​ivy,My pain fits in the palm of your freezing hand
evermore ,​ivy,"Taking mine, but it's been promised to another"
evermore ,​ivy,"Oh, I can't"
evermore ,​ivy,Stop you putting roots in my dreamland
evermore ,​ivy,"My house of stone, your ivy grows"
evermore ,​ivy,And now I'm covered in you
evermore ,​ivy,I wish to know
evermore ,​ivy,The fatal flaw that makes you long to be
evermore ,​ivy,Magnificently cursed
evermore ,​ivy,He's in the room
evermore ,​ivy,Your opal eyes are all I wish to see
evermore ,​ivy,He wants what's only yours
evermore ,​ivy,"Oh, goddamn"
evermore ,​ivy,My pain fits in the palm of your freezing hand
evermore ,​ivy,"Taking mine, but it's been promised to another"
evermore ,​ivy,"Oh, I can't"
evermore ,​ivy,Stop you putting roots in my dreamland
evermore ,​ivy,"My house of stone, your ivy grows"
evermore ,​ivy,And now I'm covered
evermore ,​ivy,Clover blooms in the fields
evermore ,​ivy,"Spring breaks loose, the time is near"
evermore ,​ivy,What would he do if he found us out?
evermore ,​ivy,"Crescent moon, coast is clear"
evermore ,​ivy,"Spring breaks loose, but so does fear"
evermore ,​ivy,He's gonna burn this house to the ground
evermore ,​ivy,How's one to know?
evermore ,​ivy,I'd live and die for moments that we stole
evermore ,​ivy,On begged and borrowed time
evermore ,​ivy,So tell me to run
evermore ,​ivy,Or dare to sit and watch what we'll become
evermore ,​ivy,And drink my husband's wine
evermore ,​ivy,"Oh, goddamn"
evermore ,​ivy,My pain fits in the palm of your freezing hand
evermore ,​ivy,"Taking mine, but it's been promised to another"
evermore ,​ivy,"Oh, I can't"
evermore ,​ivy,Stop you putting roots in my dreamland
evermore ,​ivy,"My house of stone, your ivy grows"
evermore ,​ivy,And now I'm covered in you
evermore ,​ivy,And I'm covered in you
evermore ,​ivy,"So yeah, it's a fire"
evermore ,​ivy,It's a goddamn blaze in the dark
evermore ,​ivy,And you started it
evermore ,​ivy,You started it
evermore ,​ivy,"So yeah, it's a war"
evermore ,​ivy,It's the goddamn fight of my life
evermore ,​ivy,And you started it
evermore ,​ivy,You started it
evermore ,​ivy,"Oh, I can't"
evermore ,​ivy,Stop you putting roots in my dreamland
evermore ,​ivy,"My house of stone, your ivy grows"
evermore ,​ivy,And now I'm covered
evermore ,​ivy,"In you, in you"
evermore ,​ivy,Now I'm covered in you
evermore ,​ivy,In you
evermore ,cowboy like me,And the tennis court was covered up
evermore ,cowboy like me,With some tent-like thing
evermore ,cowboy like me,And you asked me to dance
evermore ,cowboy like me,"But I said, ""Dancin' is a dangerous game"""
evermore ,cowboy like me,"Oh, I thought"
evermore ,cowboy like me,This is gonna be one of those things
evermore ,cowboy like me,Now I know
evermore ,cowboy like me,I'm never gonna love again
evermore ,cowboy like me,I've got some tricks up my sleeve
evermore ,cowboy like me,Takes one to know one
evermore ,cowboy like me,You're a cowboy like me
evermore ,cowboy like me,Never wanted love
evermore ,cowboy like me,Just a fancy car
evermore ,cowboy like me,Now I'm waiting by the phone
evermore ,cowboy like me,Like I'm sitting in an airport bar
evermore ,cowboy like me,You had some tricks up your sleeve
evermore ,cowboy like me,Takes one to know one
evermore ,cowboy like me,You're a cowboy like me
evermore ,cowboy like me,Perched in the dark
evermore ,cowboy like me,Telling all the rich folks anything they wanna hear
evermore ,cowboy like me,Like it could be love
evermore ,cowboy like me,I could be the way forward
evermore ,cowboy like me,Only if they pay for it
evermore ,cowboy like me,You're a bandit like me
evermore ,cowboy like me,Eyes full of stars
evermore ,cowboy like me,Hustling for the good life
evermore ,cowboy like me,Never thought I'd meet you here
evermore ,cowboy like me,It could be love
evermore ,cowboy like me,We could be the way forward
evermore ,cowboy like me,And I know I'll pay for it
evermore ,cowboy like me,You're a cowboy like me
evermore ,cowboy like me,Perched in the dark
evermore ,cowboy like me,Telling all the rich folks anything they wanna hear
evermore ,cowboy like me,Like it could be love
evermore ,cowboy like me,I could be the way forward
evermore ,cowboy like me,Only if they pay for it
evermore ,cowboy like me,You're a bandit like me
evermore ,cowboy like me,Eyes full of stars
evermore ,cowboy like me,Hustling for the good life
evermore ,cowboy like me,Never thought I'd meet you here
evermore ,cowboy like me,It could be love
evermore ,cowboy like me,We could be the way forward
evermore ,cowboy like me,And I know I'll pay for it
evermore ,cowboy like me,And the skeletons in both our closets
evermore ,cowboy like me,Plotted hard to fuck this up
evermore ,cowboy like me,And the old men that I've swindled
evermore ,cowboy like me,Really did believe I was the one
evermore ,cowboy like me,And the ladies lunching have their stories about
evermore ,cowboy like me,When you passed through town
evermore ,cowboy like me,But that was all before I locked it down
evermore ,cowboy like me,Now you hang from my lips
evermore ,cowboy like me,Like the Gardens of Babylon
evermore ,cowboy like me,With your boots beneath my bed
evermore ,cowboy like me,Forever is the sweetest con
evermore ,cowboy like me,I've had some tricks up my sleeve
evermore ,cowboy like me,Takes one to know one
evermore ,cowboy like me,You're a cowboy like me
evermore ,cowboy like me,And I'm never gonna love again
evermore ,cowboy like me,I'm never gonna love again
evermore ,cowboy like me,I'm never gonna love again
evermore ,​l​ong story short,Fatefully
evermore ,​l​ong story short,I tried to pick my battles 'til the battle picked me
evermore ,​l​ong story short,Misery
evermore ,​l​ong story short,Like the war of words I shouted in my sleep
evermore ,​l​ong story short,And you passed right by
evermore ,​l​ong story short,"I was in the alley, surrounded on all sides"
evermore ,​l​ong story short,The knife cuts both ways
evermore ,​l​ong story short,"If the shoe fits, walk in it 'til your high heels break"
evermore ,​l​ong story short,And I fell from the pedestal
evermore ,​l​ong story short,Right down the rabbit hole
evermore ,​l​ong story short,"Long story short, it was a bad time"
evermore ,​l​ong story short,Pushed from the precipice
evermore ,​l​ong story short,Clung to the nearest lips
evermore ,​l​ong story short,"Long story short, it was the wrong guy"
evermore ,​l​ong story short,Now I'm all about you
evermore ,​l​ong story short,"I'm all about you, ah"
evermore ,​l​ong story short,"Yeah, yeah"
evermore ,​l​ong story short,"I'm all about you, ah"
evermore ,​l​ong story short,"Yeah, yeah"
evermore ,​l​ong story short,Actually
evermore ,​l​ong story short,I always felt I must look better in the rear view
evermore ,​l​ong story short,Missing me
evermore ,​l​ong story short,At the golden gates they once held the keys to
evermore ,​l​ong story short,When I dropped my sword
evermore ,​l​ong story short,I threw it in the bushes and knocked on your door
evermore ,​l​ong story short,And we live in peace
evermore ,​l​ong story short,"But if someone comes at us, this time, I'm ready"
evermore ,​l​ong story short,'Cause I fell from the pedestal
evermore ,​l​ong story short,Right down the rabbit hole
evermore ,​l​ong story short,"Long story short, it was a bad time"
evermore ,​l​ong story short,Pushed from the precipice
evermore ,​l​ong story short,Clung to the nearest lips
evermore ,​l​ong story short,"Long story short, it was the wrong guy"
evermore ,​l​ong story short,Now I'm all about you
evermore ,​l​ong story short,"I'm all about you, ah"
evermore ,​l​ong story short,"Yeah, yeah"
evermore ,​l​ong story short,I'm all about you
evermore ,​l​ong story short,No more keepin' score
evermore ,​l​ong story short,Now I just keep you warm (Keep you warm)
evermore ,​l​ong story short,No more tug of war
evermore ,​l​ong story short,Now I just know there's more (Know there's more)
evermore ,​l​ong story short,No more keepin' score
evermore ,​l​ong story short,Now I just keep you warm (Keep you warm)
evermore ,​l​ong story short,And my waves meet your shore
evermore ,​l​ong story short,Ever and evermore
evermore ,​l​ong story short,Past me
evermore ,​l​ong story short,I wanna tell you not to get lost in these petty things
evermore ,​l​ong story short,Your nemeses
evermore ,​l​ong story short,Will defeat themselves before you get the chance to swing
evermore ,​l​ong story short,And he's passing by
evermore ,​l​ong story short,Rare as the glimmer of a comet in the sky
evermore ,​l​ong story short,And he feels like home
evermore ,​l​ong story short,"If the shoe fits, walk in it everywhere you go"
evermore ,​l​ong story short,And I fell from the pedestal
evermore ,​l​ong story short,Right down the rabbit hole
evermore ,​l​ong story short,"Long story short, it was a bad time"
evermore ,​l​ong story short,Pushed from the precipice
evermore ,​l​ong story short,Climbed right back up the cliff
evermore ,​l​ong story short,"Long story short, I survived"
evermore ,​l​ong story short,Now I'm all about you
evermore ,​l​ong story short,"(And now) I'm all about you, ah"
evermore ,​l​ong story short,(And now) I'm all about you
evermore ,​l​ong story short,"(And now) I'm all about you, ah"
evermore ,​l​ong story short,"Yeah, yeah"
evermore ,​l​ong story short,I'm all about you
evermore ,​l​ong story short,"(And now) Yeah, yeah"
evermore ,​l​ong story short,I'm all about you
evermore ,​l​ong story short,"Long story short, it was a bad time"
evermore ,​l​ong story short,"Long story short, I survived"
evermore ,​marjorie,Never be so kind
evermore ,​marjorie,You forget to be clever
evermore ,​marjorie,Never be so clever
evermore ,​marjorie,You forget to be kind
evermore ,​marjorie,And if I didn't know better
evermore ,​marjorie,I'd think you were talking to me now
evermore ,​marjorie,If I didn't know better
evermore ,​marjorie,I'd think you were still around
evermore ,​marjorie,What died didn't stay dead
evermore ,​marjorie,What died didn't stay dead
evermore ,​marjorie,"You're alive, you're alive in my head"
evermore ,​marjorie,What died didn't stay dead
evermore ,​marjorie,What died didn't stay dead
evermore ,​marjorie,"You're alive, so alive"
evermore ,​marjorie,Never be so politе
evermore ,​marjorie,You forget your power
evermore ,​marjorie,Nevеr wield such power
evermore ,​marjorie,You forget to be polite
evermore ,​marjorie,And if I didn't know better
evermore ,​marjorie,I'd think you were listening to me now
evermore ,​marjorie,If I didn't know better
evermore ,​marjorie,I'd think you were still around
evermore ,​marjorie,What died didn't stay dead
evermore ,​marjorie,What died didn't stay dead
evermore ,​marjorie,"You're alive, you're alive in my head"
evermore ,​marjorie,What died didn't stay dead
evermore ,​marjorie,What died didn't stay dead
evermore ,​marjorie,"You're alive, so alive"
evermore ,​marjorie,The autumn chill that wakes me up
evermore ,​marjorie,You loved the amber skies so much
evermore ,​marjorie,Long limbs and frozen swims
evermore ,​marjorie,You'd always go past where our feet could touch
evermore ,​marjorie,And I complained the whole way there
evermore ,​marjorie,The car ride back and up the stairs
evermore ,​marjorie,I should've asked you questions
evermore ,​marjorie,I should've asked you how to be
evermore ,​marjorie,Asked you to write it down for me
evermore ,​marjorie,Should've kept every grocery store receipt
evermore ,​marjorie,'Cause every scrap of you would be taken from me
evermore ,​marjorie,Watched as you signed your name Marjorie
evermore ,​marjorie,All your closets of backlogged dreams
evermore ,​marjorie,And how you left them all to me
evermore ,​marjorie,What died didn't stay dead
evermore ,​marjorie,What died didn't stay dead
evermore ,​marjorie,"You're alive, you're alive in my head"
evermore ,​marjorie,What died didn't stay dead
evermore ,​marjorie,What died didn't stay dead
evermore ,​marjorie,"You're alive, so alive"
evermore ,​marjorie,And if I didn't know better
evermore ,​marjorie,I'd think you were singing to me now
evermore ,​marjorie,If I didn't know better
evermore ,​marjorie,I'd think you were still around
evermore ,​marjorie,I know better
evermore ,​marjorie,But I still feel you all around
evermore ,​marjorie,I know better
evermore ,​marjorie,But you're still around
evermore ,​closure,It's been a long time
evermore ,​closure,And seeing the shape of your name
evermore ,​closure,Still spells out pain
evermore ,​closure,It wasn't right
evermore ,​closure,The way it all went down
evermore ,​closure,Looks like you know that now
evermore ,​closure,"Yes, I got your letter"
evermore ,​closure,"Yes, I'm doing better"
evermore ,​closure,"It cut deep to know ya, right to the bone"
evermore ,​closure,"Yes, I got your letter"
evermore ,​closure,"Yes, I'm doing better"
evermore ,​closure,"I know that it's over, I don't need your"
evermore ,​closure,"Closure, your closure"
evermore ,​closure,Don't treat me like
evermore ,​closure,Some situation that needs to be handled
evermore ,​closure,I'm fine with my spite
evermore ,​closure,"And my tears, and my beers and my candles"
evermore ,​closure,I can feel you smoothing me over
evermore ,​closure,"Yes, I got your letter"
evermore ,​closure,"Yes, I'm doing bettеr"
evermore ,​closure,"It cut deep to know ya, right to the bone"
evermore ,​closure,"Yes, I got your lеtter"
evermore ,​closure,"Yes, I'm doing better"
evermore ,​closure,"I know that it's over, I don't need your"
evermore ,​closure,"Closure, your closure"
evermore ,​closure,"Your closure, your closure"
evermore ,​closure,I know I'm just a wrinkle in your new life
evermore ,​closure,Staying friends would iron it out so nice
evermore ,​closure,"Guilty, guilty, reaching out across the sea"
evermore ,​closure,That you put between you and me
evermore ,​closure,But it's fake and it's oh so unnecessary
evermore ,​closure,"Yes, I got your letter"
evermore ,​closure,"Yes, I'm doing better"
evermore ,​closure,"It cut deep to know ya, right to the bone"
evermore ,​closure,"Yes, I got your letter"
evermore ,​closure,"Yes, I'm doing better"
evermore ,​closure,"I know that it's over, I don't need your"
evermore ,​closure,"Closure, closure, your closure"
evermore ,​closure,Your closure
evermore ,​evermore,Gray November
evermore ,​evermore,I've been down since July
evermore ,​evermore,Motion capture
evermore ,​evermore,Put me in a bad light
evermore ,​evermore,I replay my footsteps on each stepping stone
evermore ,​evermore,Trying to find the one where I went wrong
evermore ,​evermore,Writing letters
evermore ,​evermore,Addressed to the fire
evermore ,​evermore,And I was catching my breath
evermore ,​evermore,Staring out an open window
evermore ,​evermore,Catching my death
evermore ,​evermore,And I couldn't be sure
evermore ,​evermore,I had a feeling so peculiar
evermore ,​evermore,That this pain would be for
evermore ,​evermore,Evermore
evermore ,​evermore,Hey December
evermore ,​evermore,Guess I'm feeling unmoored
evermore ,​evermore,Can't remember
evermore ,​evermore,What I used to fight for
evermore ,​evermore,"I rewind thе tape, but all it does is pause"
evermore ,​evermore,On thе very moment all was lost
evermore ,​evermore,Sending signals
evermore ,​evermore,To be double-crossed
evermore ,​evermore,And I was catching my breath
evermore ,​evermore,Barefoot in the wildest winter
evermore ,​evermore,Catching my death
evermore ,​evermore,And I couldn't be sure
evermore ,​evermore,I had a feeling so peculiar
evermore ,​evermore,That this pain would be for
evermore ,​evermore,Evermore
evermore ,​evermore,(Evermore)
evermore ,​evermore,Can't not think of all the cost
evermore ,​evermore,And the things that will be lost
evermore ,​evermore,"Oh, can we just get a pause?"
evermore ,​evermore,"To be certain, we'll be tall again"
evermore ,​evermore,Whether weather be the frost
evermore ,​evermore,Or the violence of the dog days
evermore ,​evermore,"I'm on waves, out being tossed"
evermore ,​evermore,Is there a line that I could just go cross?
evermore ,​evermore,And when I was shipwrecked (Can't think of all the cost)
evermore ,​evermore,I thought of you (All the things that will be lost now)
evermore ,​evermore,In the cracks of light (Can we just get a pause?)
evermore ,​evermore,"I dreamed of you (To be certain we'll be tall again, if you think of all the costs)"
evermore ,​evermore,It was real enough (Whether weather be the frost)
evermore ,​evermore,To get me through (Or the violence of the dog days)
evermore ,​evermore,(Or the violence of the dog days)
evermore ,​evermore,"(Out on waves, being tossed)"
evermore ,​evermore,"(I'm on waves, out being tossed)"
evermore ,​evermore,I swear (Is there a line that we can just go cross?)
evermore ,​evermore,You were there
evermore ,​evermore,And I was catching my breath
evermore ,​evermore,Floors of a cabin creaking under my step
evermore ,​evermore,And I couldn't be sure
evermore ,​evermore,I had a feeling so peculiar
evermore ,​evermore,This pain wouldn't be for
evermore ,​evermore,Evermore
evermore ,​evermore,Evermore
evermore ,​evermore,Evermore
evermore ,​evermore,This pain wouldn't be for evermore
evermore ,​evermore,Evermore
evermore ,​r​ight where you left me,"Friends break up, friends get married"
evermore ,​r​ight where you left me,"Strangers get born, strangers get buried"
evermore ,​r​ight where you left me,"Trends change, rumors fly through new skies"
evermore ,​r​ight where you left me,But I'm right where you left me
evermore ,​r​ight where you left me,Matches burn after the other
evermore ,​r​ight where you left me,Pages turn and stick to each other
evermore ,​r​ight where you left me,Wages earned and lessons learned
evermore ,​r​ight where you left me,"But I, I'm right where you left me"
evermore ,​r​ight where you left me,"Help, I'm still at the restaurant"
evermore ,​r​ight where you left me,Still sitting in a corner I haunt
evermore ,​r​ight where you left me,Cross-legged in the dim light
evermore ,​r​ight where you left me,"They say, ""What a sad sight"""
evermore ,​r​ight where you left me,"I, I swear you could hear a hair pin drop"
evermore ,​r​ight where you left me,Right when I felt the moment stop
evermore ,​r​ight where you left me,Glass shattered on the white cloth
evermore ,​r​ight where you left me,"Everybody moved on, I, I stayed there"
evermore ,​r​ight where you left me,Dust collected on my pinned-up hair
evermore ,​r​ight where you left me,They expected me to find somewhere
evermore ,​r​ight where you left me,"Some perspective, but I sat and stared"
evermore ,​r​ight where you left me,Right where you left me
evermore ,​r​ight where you left me,"You left me no, you left me no"
evermore ,​r​ight where you left me,You left me no choice but to stay here forever
evermore ,​r​ight where you left me,"You left me, you left me no, oh, you left me no"
evermore ,​r​ight where you left me,You left me no choice but to stay here forever
evermore ,​r​ight where you left me,Joeboy 'Sip (Alcohol)' Official Lyrics & Meaning | Verified
evermore ,​r​ight where you left me,Did you ever hear about the girl who got frozen?
evermore ,​r​ight where you left me,"Time went on for everybody else, she won't know it"
evermore ,​r​ight where you left me,She's still twenty-three inside her fantasy
evermore ,​r​ight where you left me,How it was supposed to be
evermore ,​r​ight where you left me,Did you hear about the girl who lives in delusion?
evermore ,​r​ight where you left me,"Breakups happen every day, you don't have to lose it"
evermore ,​r​ight where you left me,She's still twenty-three inside her fantasy
evermore ,​r​ight where you left me,And you're sitting in front of me
evermore ,​r​ight where you left me,At the restaurant when I was still the one you want
evermore ,​r​ight where you left me,"Cross-legged in the dim light, everything was just right"
evermore ,​r​ight where you left me,"I, I could feel the mascara run"
evermore ,​r​ight where you left me,You told me that you met someone
evermore ,​r​ight where you left me,Glass shattered on the white cloth
evermore ,​r​ight where you left me,Everybody moved on
evermore ,​r​ight where you left me,"Help, I'm still at the restaurant"
evermore ,​r​ight where you left me,Still sitting in a corner I haunt
evermore ,​r​ight where you left me,Cross-legged in the dim light
evermore ,​r​ight where you left me,"They say, ""What a sad sight"""
evermore ,​r​ight where you left me,"I, I stayed there"
evermore ,​r​ight where you left me,Dust collected on my pinned-up hair
evermore ,​r​ight where you left me,I'm sure that you got a wife out there
evermore ,​r​ight where you left me,"Kids and Christmas, but I'm unaware"
evermore ,​r​ight where you left me,'Cause I'm right where I cause no harm
evermore ,​r​ight where you left me,Mind my business
evermore ,​r​ight where you left me,If our love died young
evermore ,​r​ight where you left me,I can't bear witness
evermore ,​r​ight where you left me,And it's been so long
evermore ,​r​ight where you left me,But if you ever think you got it wrong
evermore ,​r​ight where you left me,I'm right where
evermore ,​r​ight where you left me,You left me
evermore ,​r​ight where you left me,"You left me no, oh, you left me no"
evermore ,​r​ight where you left me,You left me no choice but to stay here forever
evermore ,​r​ight where you left me,You left me
evermore ,​r​ight where you left me,"You left me no, oh, you left me no"
evermore ,​r​ight where you left me,You left me no choice but to stay here forever
evermore ,​it’s time to go,When the dinner is cold and the chatter gets old
evermore ,​it’s time to go,You ask for the tab
evermore ,​it’s time to go,"Or that moment again, he's insisting that friends"
evermore ,​it’s time to go,Look at each other like that
evermore ,​it’s time to go,When the words of a sister come back in whispers
evermore ,​it’s time to go,That prove she was not in fact what she seemed
evermore ,​it’s time to go,Not a twin from your dreams
evermore ,​it’s time to go,She's a crook who was caught
evermore ,​it’s time to go,That old familiar body ache
evermore ,​it’s time to go,The snaps from the same little breaks in your soul
evermore ,​it’s time to go,You know when it's time to go
evermore ,​it’s time to go,Twenty years at your job
evermore ,​it’s time to go,Then the son of the boss gets the spot that was yours
evermore ,​it’s time to go,Or trying to stay for the kids
evermore ,​it’s time to go,When keeping it how it is will only break their hearts worse
evermore ,​it’s time to go,That old familiar body ache
evermore ,​it’s time to go,The snaps from the same little breaks in your soul
evermore ,​it’s time to go,You know when it's time to go
evermore ,​it’s time to go,Sometimes giving up is the strong thing
evermore ,​it’s time to go,Sometimes to run is the brave thing
